ID;SoortMisdrijf;WijkenEnBuurten;Perioden;GeregistreerdeMisdrijven_1;Gemeentenaam_2;SoortRegio_3
12;0.0.0 ;NL00      ;2024JJ00;805327;                              ;        
51;0.0.0 ;BU16800000;2024JJ00;56;                              ;        
64;0.0.0 ;BU16800009;2024JJ00;2;                              ;        
90;0.0.0 ;BU16800100;2024JJ00;19;                              ;        
103;0.0.0 ;BU16800109;2024JJ00;8;                              ;        
129;0.0.0 ;BU16800200;2024JJ00;12;                              ;        
142;0.0.0 ;BU16800209;2024JJ00;1;                              ;        
168;0.0.0 ;BU16800300;2024JJ00;5;                              ;        
181;0.0.0 ;BU16800309;2024JJ00;2;                              ;        
207;0.0.0 ;BU16800400;2024JJ00;1;                              ;        
220;0.0.0 ;BU16800409;2024JJ00;1;                              ;        
246;0.0.0 ;BU16800500;2024JJ00;9;                              ;        
259;0.0.0 ;BU16800509;2024JJ00;5;                              ;        
285;0.0.0 ;BU16800600;2024JJ00;7;                              ;        
298;0.0.0 ;BU16800609;2024JJ00;0;                              ;        
324;0.0.0 ;BU16800700;2024JJ00;1;                              ;        
337;0.0.0 ;BU16800709;2024JJ00;0;                              ;        
363;0.0.0 ;BU16800800;2024JJ00;0;                              ;        
376;0.0.0 ;BU16800809;2024JJ00;0;                              ;        
402;0.0.0 ;BU16800900;2024JJ00;0;                              ;        
415;0.0.0 ;BU16800909;2024JJ00;0;                              ;        
441;0.0.0 ;BU16801100;2024JJ00;5;                              ;        
454;0.0.0 ;BU16801109;2024JJ00;1;                              ;        
480;0.0.0 ;BU16801200;2024JJ00;2;                              ;        
493;0.0.0 ;BU16801209;2024JJ00;1;                              ;        
519;0.0.0 ;BU16801300;2024JJ00;2;                              ;        
532;0.0.0 ;BU16801309;2024JJ00;0;                              ;        
558;0.0.0 ;BU16801400;2024JJ00;24;                              ;        
571;0.0.0 ;BU16801401;2024JJ00;1;                              ;        
584;0.0.0 ;BU16801409;2024JJ00;36;                              ;        
610;0.0.0 ;BU16801500;2024JJ00;32;                              ;        
623;0.0.0 ;BU16801501;2024JJ00;1;                              ;        
636;0.0.0 ;BU16801509;2024JJ00;0;                              ;        
662;0.0.0 ;BU16801600;2024JJ00;13;                              ;        
675;0.0.0 ;BU16801601;2024JJ00;0;                              ;        
688;0.0.0 ;BU16801609;2024JJ00;1;                              ;        
714;0.0.0 ;BU16801700;2024JJ00;126;                              ;        
727;0.0.0 ;BU16801709;2024JJ00;16;                              ;        
753;0.0.0 ;BU16801800;2024JJ00;8;                              ;        
766;0.0.0 ;BU16801801;2024JJ00;1;                              ;        
779;0.0.0 ;BU16801802;2024JJ00;6;                              ;        
792;0.0.0 ;BU16801809;2024JJ00;4;                              ;        
818;0.0.0 ;BU16801900;2024JJ00;88;                              ;        
831;0.0.0 ;BU16801901;2024JJ00;0;                              ;        
844;0.0.0 ;BU16801902;2024JJ00;0;                              ;        
857;0.0.0 ;BU16801903;2024JJ00;1;                              ;        
870;0.0.0 ;BU16801908;2024JJ00;25;                              ;        
883;0.0.0 ;BU16801909;2024JJ00;10;                              ;        
909;0.0.0 ;BU16802000;2024JJ00;6;                              ;        
922;0.0.0 ;BU16802001;2024JJ00;6;                              ;        
935;0.0.0 ;BU16802008;2024JJ00;5;                              ;        
948;0.0.0 ;BU16802009;2024JJ00;10;                              ;        
974;0.0.0 ;BU16802100;2024JJ00;3;                              ;        
987;0.0.0 ;BU16802101;2024JJ00;0;                              ;        
1000;0.0.0 ;BU16802109;2024JJ00;13;                              ;        
1039;0.0.0 ;BU03580000;2024JJ00;199;                              ;        
1052;0.0.0 ;BU03580001;2024JJ00;269;                              ;        
1065;0.0.0 ;BU03580004;2024JJ00;159;                              ;        
1078;0.0.0 ;BU03580005;2024JJ00;36;                              ;        
1104;0.0.0 ;BU03580100;2024JJ00;154;                              ;        
1130;0.0.0 ;BU03580200;2024JJ00;41;                              ;        
1143;0.0.0 ;BU03580201;2024JJ00;141;                              ;        
1156;0.0.0 ;BU03580205;2024JJ00;195;                              ;        
1169;0.0.0 ;BU03580206;2024JJ00;28;                              ;        
1208;0.0.0 ;BU01970101;2024JJ00;0;                              ;        
1221;0.0.0 ;BU01970102;2024JJ00;13;                              ;        
1234;0.0.0 ;BU01970103;2024JJ00;5;                              ;        
1247;0.0.0 ;BU01970104;2024JJ00;15;                              ;        
1260;0.0.0 ;BU01970105;2024JJ00;1;                              ;        
1273;0.0.0 ;BU01970106;2024JJ00;0;                              ;        
1286;0.0.0 ;BU01970107;2024JJ00;2;                              ;        
1299;0.0.0 ;BU01970108;2024JJ00;23;                              ;        
1312;0.0.0 ;BU01970109;2024JJ00;2;                              ;        
1325;0.0.0 ;BU01970110;2024JJ00;15;                              ;        
1338;0.0.0 ;BU01970111;2024JJ00;30;                              ;        
1351;0.0.0 ;BU01970112;2024JJ00;0;                              ;        
1377;0.0.0 ;BU01970201;2024JJ00;8;                              ;        
1390;0.0.0 ;BU01970202;2024JJ00;7;                              ;        
1403;0.0.0 ;BU01970203;2024JJ00;4;                              ;        
1416;0.0.0 ;BU01970204;2024JJ00;14;                              ;        
1442;0.0.0 ;BU01970301;2024JJ00;20;                              ;        
1455;0.0.0 ;BU01970302;2024JJ00;28;                              ;        
1468;0.0.0 ;BU01970303;2024JJ00;8;                              ;        
1481;0.0.0 ;BU01970304;2024JJ00;38;                              ;        
1494;0.0.0 ;BU01970305;2024JJ00;8;                              ;        
1507;0.0.0 ;BU01970306;2024JJ00;8;                              ;        
1520;0.0.0 ;BU01970307;2024JJ00;76;                              ;        
1546;0.0.0 ;BU01970400;2024JJ00;65;                              ;        
1559;0.0.0 ;BU01970401;2024JJ00;26;                              ;        
1572;0.0.0 ;BU01970402;2024JJ00;44;                              ;        
1585;0.0.0 ;BU01970403;2024JJ00;0;                              ;        
1598;0.0.0 ;BU01970408;2024JJ00;6;                              ;        
1611;0.0.0 ;BU01970409;2024JJ00;8;                              ;        
1650;0.0.0 ;BU00590000;2024JJ00;111;                              ;        
1663;0.0.0 ;BU00590001;2024JJ00;17;                              ;        
1676;0.0.0 ;BU00590002;2024JJ00;33;                              ;        
1689;0.0.0 ;BU00590003;2024JJ00;22;                              ;        
1702;0.0.0 ;BU00590004;2024JJ00;13;                              ;        
1715;0.0.0 ;BU00590005;2024JJ00;17;                              ;        
1728;0.0.0 ;BU00590006;2024JJ00;6;                              ;        
1741;0.0.0 ;BU00590007;2024JJ00;10;                              ;        
1754;0.0.0 ;BU00590008;2024JJ00;3;                              ;        
1767;0.0.0 ;BU00590009;2024JJ00;0;                              ;        
1793;0.0.0 ;BU00590100;2024JJ00;6;                              ;        
1806;0.0.0 ;BU00590102;2024JJ00;26;                              ;        
1819;0.0.0 ;BU00590103;2024JJ00;12;                              ;        
1832;0.0.0 ;BU00590107;2024JJ00;1;                              ;        
1845;0.0.0 ;BU00590108;2024JJ00;3;                              ;        
1858;0.0.0 ;BU00590109;2024JJ00;6;                              ;        
1884;0.0.0 ;BU00590200;2024JJ00;119;                              ;        
1897;0.0.0 ;BU00590201;2024JJ00;82;                              ;        
1910;0.0.0 ;BU00590202;2024JJ00;25;                              ;        
1923;0.0.0 ;BU00590203;2024JJ00;13;                              ;        
1936;0.0.0 ;BU00590206;2024JJ00;9;                              ;        
1949;0.0.0 ;BU00590207;2024JJ00;5;                              ;        
1962;0.0.0 ;BU00590208;2024JJ00;7;                              ;        
1975;0.0.0 ;BU00590209;2024JJ00;9;                              ;        
2014;0.0.0 ;BU04820101;2024JJ00;21;                              ;        
2027;0.0.0 ;BU04820102;2024JJ00;41;                              ;        
2040;0.0.0 ;BU04820103;2024JJ00;42;                              ;        
2053;0.0.0 ;BU04820104;2024JJ00;9;                              ;        
2066;0.0.0 ;BU04820105;2024JJ00;32;                              ;        
2092;0.0.0 ;BU04820201;2024JJ00;15;                              ;        
2105;0.0.0 ;BU04820202;2024JJ00;15;                              ;        
2118;0.0.0 ;BU04820203;2024JJ00;3;                              ;        
2131;0.0.0 ;BU04820204;2024JJ00;1;                              ;        
2144;0.0.0 ;BU04820205;2024JJ00;22;                              ;        
2157;0.0.0 ;BU04820206;2024JJ00;8;                              ;        
2183;0.0.0 ;BU04820301;2024JJ00;16;                              ;        
2196;0.0.0 ;BU04820302;2024JJ00;5;                              ;        
2209;0.0.0 ;BU04820303;2024JJ00;7;                              ;        
2222;0.0.0 ;BU04820304;2024JJ00;11;                              ;        
2235;0.0.0 ;BU04820305;2024JJ00;25;                              ;        
2248;0.0.0 ;BU04820306;2024JJ00;38;                              ;        
2261;0.0.0 ;BU04820307;2024JJ00;44;                              ;        
2287;0.0.0 ;BU04820401;2024JJ00;26;                              ;        
2300;0.0.0 ;BU04820402;2024JJ00;16;                              ;        
2313;0.0.0 ;BU04820403;2024JJ00;0;                              ;        
2326;0.0.0 ;BU04820404;2024JJ00;13;                              ;        
2352;0.0.0 ;BU04820501;2024JJ00;109;                              ;        
2365;0.0.0 ;BU04820502;2024JJ00;9;                              ;        
2378;0.0.0 ;BU04820503;2024JJ00;17;                              ;        
2404;0.0.0 ;BU04820601;2024JJ00;0;                              ;        
2417;0.0.0 ;BU04820602;2024JJ00;0;                              ;        
2430;0.0.0 ;BU04820603;2024JJ00;0;                              ;        
2443;0.0.0 ;BU04820604;2024JJ00;6;                              ;        
2482;0.0.0 ;BU06130101;2024JJ00;47;                              ;        
2495;0.0.0 ;BU06130102;2024JJ00;34;                              ;        
2508;0.0.0 ;BU06130103;2024JJ00;0;                              ;        
2521;0.0.0 ;BU06130104;2024JJ00;3;                              ;        
2547;0.0.0 ;BU06130205;2024JJ00;91;                              ;        
2560;0.0.0 ;BU06130207;2024JJ00;3;                              ;        
2586;0.0.0 ;BU06130308;2024JJ00;52;                              ;        
2599;0.0.0 ;BU06130309;2024JJ00;29;                              ;        
2612;0.0.0 ;BU06130310;2024JJ00;45;                              ;        
2625;0.0.0 ;BU06130311;2024JJ00;44;                              ;        
2638;0.0.0 ;BU06130312;2024JJ00;114;                              ;        
2651;0.0.0 ;BU06130313;2024JJ00;18;                              ;        
2677;0.0.0 ;BU06130414;2024JJ00;80;                              ;        
2690;0.0.0 ;BU06130415;2024JJ00;22;                              ;        
2703;0.0.0 ;BU06130416;2024JJ00;45;                              ;        
2716;0.0.0 ;BU06130417;2024JJ00;29;                              ;        
2729;0.0.0 ;BU06130418;2024JJ00;30;                              ;        
2742;0.0.0 ;BU06130419;2024JJ00;22;                              ;        
2755;0.0.0 ;BU06130420;2024JJ00;3;                              ;        
2781;0.0.0 ;BU06130521;2024JJ00;76;                              ;        
2794;0.0.0 ;BU06130522;2024JJ00;13;                              ;        
2820;0.0.0 ;BU06130623;2024JJ00;40;                              ;        
2833;0.0.0 ;BU06130624;2024JJ00;51;                              ;        
2846;0.0.0 ;BU06130625;2024JJ00;9;                              ;        
2859;0.0.0 ;BU06130626;2024JJ00;52;                              ;        
2885;0.0.0 ;BU06130706;2024JJ00;61;                              ;        
2924;0.0.0 ;BU03610100;2024JJ00;161;                              ;        
2937;0.0.0 ;BU03610101;2024JJ00;50;                              ;        
2950;0.0.0 ;BU03610102;2024JJ00;63;                              ;        
2963;0.0.0 ;BU03610103;2024JJ00;47;                              ;        
2976;0.0.0 ;BU03610104;2024JJ00;60;                              ;        
2989;0.0.0 ;BU03610105;2024JJ00;139;                              ;        
3002;0.0.0 ;BU03610106;2024JJ00;76;                              ;        
3015;0.0.0 ;BU03610107;2024JJ00;13;                              ;        
3028;0.0.0 ;BU03610108;2024JJ00;45;                              ;        
3041;0.0.0 ;BU03610109;2024JJ00;42;                              ;        
3067;0.0.0 ;BU03610200;2024JJ00;55;                              ;        
3080;0.0.0 ;BU03610201;2024JJ00;116;                              ;        
3093;0.0.0 ;BU03610202;2024JJ00;27;                              ;        
3106;0.0.0 ;BU03610203;2024JJ00;110;                              ;        
3119;0.0.0 ;BU03610204;2024JJ00;74;                              ;        
3132;0.0.0 ;BU03610205;2024JJ00;17;                              ;        
3145;0.0.0 ;BU03610206;2024JJ00;26;                              ;        
3158;0.0.0 ;BU03610208;2024JJ00;48;                              ;        
3171;0.0.0 ;BU03610209;2024JJ00;36;                              ;        
3197;0.0.0 ;BU03610300;2024JJ00;98;                              ;        
3210;0.0.0 ;BU03610301;2024JJ00;76;                              ;        
3223;0.0.0 ;BU03610302;2024JJ00;138;                              ;        
3236;0.0.0 ;BU03610303;2024JJ00;145;                              ;        
3249;0.0.0 ;BU03610308;2024JJ00;35;                              ;        
3262;0.0.0 ;BU03610309;2024JJ00;37;                              ;        
3288;0.0.0 ;BU03610400;2024JJ00;109;                              ;        
3301;0.0.0 ;BU03610401;2024JJ00;168;                              ;        
3314;0.0.0 ;BU03610402;2024JJ00;45;                              ;        
3327;0.0.0 ;BU03610403;2024JJ00;69;                              ;        
3340;0.0.0 ;BU03610404;2024JJ00;38;                              ;        
3353;0.0.0 ;BU03610409;2024JJ00;164;                              ;        
3379;0.0.0 ;BU03610500;2024JJ00;149;                              ;        
3392;0.0.0 ;BU03610501;2024JJ00;42;                              ;        
3405;0.0.0 ;BU03610502;2024JJ00;185;                              ;        
3418;0.0.0 ;BU03610503;2024JJ00;61;                              ;        
3444;0.0.0 ;BU03610600;2024JJ00;92;                              ;        
3457;0.0.0 ;BU03610601;2024JJ00;41;                              ;        
3470;0.0.0 ;BU03610602;2024JJ00;71;                              ;        
3483;0.0.0 ;BU03610603;2024JJ00;101;                              ;        
3496;0.0.0 ;BU03610604;2024JJ00;315;                              ;        
3522;0.0.0 ;BU03610700;2024JJ00;68;                              ;        
3535;0.0.0 ;BU03610701;2024JJ00;77;                              ;        
3548;0.0.0 ;BU03610702;2024JJ00;38;                              ;        
3561;0.0.0 ;BU03610703;2024JJ00;34;                              ;        
3574;0.0.0 ;BU03610704;2024JJ00;55;                              ;        
3587;0.0.0 ;BU03610709;2024JJ00;2;                              ;        
3613;0.0.0 ;BU03610800;2024JJ00;621;                              ;        
3626;0.0.0 ;BU03610801;2024JJ00;345;                              ;        
3639;0.0.0 ;BU03610802;2024JJ00;385;                              ;        
3652;0.0.0 ;BU03610803;2024JJ00;204;                              ;        
3678;0.0.0 ;BU03610900;2024JJ00;9;                              ;        
3691;0.0.0 ;BU03610901;2024JJ00;3;                              ;        
3704;0.0.0 ;BU03610902;2024JJ00;40;                              ;        
3717;0.0.0 ;BU03610903;2024JJ00;28;                              ;        
3730;0.0.0 ;BU03610904;2024JJ00;13;                              ;        
3743;0.0.0 ;BU03610905;2024JJ00;6;                              ;        
3756;0.0.0 ;BU03610906;2024JJ00;11;                              ;        
3782;0.0.0 ;BU03611000;2024JJ00;0;                              ;        
3795;0.0.0 ;BU03611001;2024JJ00;15;                              ;        
3808;0.0.0 ;BU03611002;2024JJ00;8;                              ;        
3821;0.0.0 ;BU03611003;2024JJ00;77;                              ;        
3834;0.0.0 ;BU03611004;2024JJ00;3;                              ;        
3847;0.0.0 ;BU03611005;2024JJ00;8;                              ;        
3860;0.0.0 ;BU03611006;2024JJ00;2;                              ;        
3886;0.0.0 ;BU03611100;2024JJ00;39;                              ;        
3899;0.0.0 ;BU03611101;2024JJ00;49;                              ;        
3938;0.0.0 ;BU01411000;2024JJ00;611;                              ;        
3951;0.0.0 ;BU01411001;2024JJ00;209;                              ;        
3964;0.0.0 ;BU01411002;2024JJ00;63;                              ;        
3977;0.0.0 ;BU01411003;2024JJ00;79;                              ;        
4003;0.0.0 ;BU01411100;2024JJ00;35;                              ;        
4016;0.0.0 ;BU01411101;2024JJ00;37;                              ;        
4029;0.0.0 ;BU01411102;2024JJ00;148;                              ;        
4042;0.0.0 ;BU01411103;2024JJ00;87;                              ;        
4055;0.0.0 ;BU01411104;2024JJ00;122;                              ;        
4068;0.0.0 ;BU01411105;2024JJ00;44;                              ;        
4081;0.0.0 ;BU01411109;2024JJ00;4;                              ;        
4107;0.0.0 ;BU01411200;2024JJ00;47;                              ;        
4120;0.0.0 ;BU01411201;2024JJ00;75;                              ;        
4133;0.0.0 ;BU01411202;2024JJ00;57;                              ;        
4146;0.0.0 ;BU01411203;2024JJ00;23;                              ;        
4159;0.0.0 ;BU01411204;2024JJ00;58;                              ;        
4172;0.0.0 ;BU01411205;2024JJ00;27;                              ;        
4185;0.0.0 ;BU01411206;2024JJ00;29;                              ;        
4198;0.0.0 ;BU01411209;2024JJ00;20;                              ;        
4224;0.0.0 ;BU01411300;2024JJ00;69;                              ;        
4237;0.0.0 ;BU01411301;2024JJ00;45;                              ;        
4250;0.0.0 ;BU01411302;2024JJ00;38;                              ;        
4263;0.0.0 ;BU01411303;2024JJ00;79;                              ;        
4276;0.0.0 ;BU01411304;2024JJ00;13;                              ;        
4289;0.0.0 ;BU01411305;2024JJ00;15;                              ;        
4302;0.0.0 ;BU01411309;2024JJ00;3;                              ;        
4328;0.0.0 ;BU01411400;2024JJ00;35;                              ;        
4341;0.0.0 ;BU01411401;2024JJ00;33;                              ;        
