population_decile,n,rmse,mae,mean_true,mean_predicted,mean_residual
0,281,0.8888886773260641,0.6909459766213584,1.9044720952338243,1.908818123868776,-0.004346028634951632
1,286,0.7241694843988602,0.5701335293143004,1.770251947288711,1.765954304616768,0.004297642671942878
2,271,0.6750803466417866,0.5431569060308261,1.96946236958764,2.0395232293878536,-0.07006085980021344
3,268,0.62575662076682,0.48074315854013544,2.463939356657352,2.510289877653122,-0.04635052099576986
4,275,0.47558959792121736,0.36644330638601863,2.802465784610266,2.781625781926242,0.020840002684024216
5,274,0.4860754049982277,0.36070007053908365,3.1927355789039598,3.2277079472576613,-0.03497236835370183
6,276,0.3720291121107891,0.28839246448133826,3.630020370320136,3.662588161834772,-0.03256779151463598
7,277,0.38538116679890366,0.29236982999238237,3.9125458515493845,3.8884447739873123,0.024101077562072568
8,275,0.29082582769546583,0.2254825567588916,4.330855280481007,4.282773749611595,0.04808153086941306
9,276,0.2881598186243464,0.22416716928971867,4.839370769980656,4.824208554150402,0.015162215830254221
