target_decile,n,rmse,mae,mean_true,mean_pred,mean_abs_error
0,293,0.8122942268882063,0.6614387816552733,0.538719222965407,1.1514464459626748,0.6614387816552733
1,264,0.5715102227002001,0.46432177463530655,1.5900685246217456,1.7638764573317585,0.46432177463530655
2,313,0.5266321032788411,0.4155438310564046,2.1851577037210492,2.2776510196562394,0.4155438310564046
3,245,0.5334727074313216,0.42312422135800104,2.6235194070232746,2.687830622342168,0.42312422135800104
4,285,0.5386898060183694,0.3866567487335315,3.0063803499855677,2.9407710008453907,0.3866567487335315
5,255,0.494295520046857,0.3377094790811212,3.3873994016854883,3.2913059989611306,0.3377094790811212
6,290,0.5076196533392318,0.3505570533109726,3.7515125009007324,3.5917136763704236,0.3505570533109726
7,269,0.4375313735594332,0.29465478029066583,4.109771391493514,3.9972357510634073,0.29465478029066583
8,271,0.4493988463648918,0.3048042663767888,4.527530077869388,4.359671033176549,0.3048042663767888
9,274,0.5758524079754817,0.391828968523936,5.2844390360730875,4.975470028654502,0.391828968523936
