left,right,metric,mean_diff_left_minus_right,std_diff,var_diff,ci95_low,ci95_high,n_paired_folds,paired_ttest_pvalue_exploratory,wilcoxon_pvalue_exploratory,cohens_dz_exploratory
RF base,RF queen,rmse,0.005742576590935489,0.007650091578548181,5.8523901160173795e-05,-0.00375626670510959,0.015241419886980568,5,0.16854835542411864,0.1875,0.7506546205327
XGB base,XGB queen,rmse,0.0075475973553729815,0.0054600748828441525,2.9812417726265588e-05,0.0007680189458487618,0.014327175764897202,5,0.0365398048929892,0.0625,1.3823248796619871
RF queen,XGB queen,rmse,0.01811502959298914,0.002475341154240015,6.127313829874291e-06,0.015041487598497164,0.02118857158748112,5,8.163186459590438e-05,0.0625,7.318195135228081
RF base,RF boundary,rmse,-0.0010929652602924556,0.000919221038343063,8.449673173324988e-07,-0.0022343289299945187,4.839840940960762e-05,5,0.05646609870713563,0.125,-1.18901245152371
XGB base,XGB boundary,rmse,0.0020372175179644626,0.001790417597515457,3.2055951734930206e-06,-0.00018587955462095757,0.004260314590549883,5,0.06368954110911439,0.0625,1.1378448920472448
RF base,RF base_reduced,rmse,-0.05264740416279423,0.004960595162950433,2.4607504370687227e-05,-0.058806796586293515,-0.04648801173929495,5,1.8694552624505927e-05,0.0625,-10.613122505139268
XGB base,XGB base_reduced,rmse,-0.05994045046587419,0.007039174357814451,4.954997563971249e-05,-0.0686807398430515,-0.05120016108869689,5,4.482023105131302e-05,0.0625,-8.515267191717172
RF queen,RF queen_reduced,rmse,-0.015945786844049948,0.00462785747200631,2.141706478120463e-05,-0.02169203085585847,-0.01019954283224143,5,0.0015271501487926307,0.0625,-3.445608889319789
XGB queen,XGB queen_reduced,rmse,-0.01935956301453179,0.007746409261287134,6.000685644335509e-05,-0.02897800050962424,-0.009741125519439339,5,0.0050300692725881195,0.0625,-2.499166047330041
RF boundary,RF boundary_reduced,rmse,-0.0251751758788211,0.004821466182675614,2.3246536150684563e-05,-0.031161816856406344,-0.019188534901235857,5,0.000307674565452416,0.0625,-5.221477228084682
XGB boundary,XGB boundary_reduced,rmse,-0.03120171673243153,0.00572021924169866,3.272090817309959e-05,-0.038304307026681195,-0.024099126438181868,5,0.00025937745658864426,0.0625,-5.454636512002984
