feature,mean_abs_shap
a_bedv,0.30188403
a_1p_hh,0.28089398
a_vastg,0.13642861
ste_oad,0.121045806
a_neu_al,0.11619111
a_bed_gi,0.095659055
g_3km_sc,0.07743041
a_gbl_ne,0.0708076
a_lan_ha,0.07068434
a_bed_ru,0.06310957
a_opp_ha,0.044658232
boundary_lag_a_opp_ha,0.040901713
pst_mvp,0.03605963
bev_dich,0.033164617
g_ele_tr,0.0325821
a_eur_al,0.028557846
boundary_lag_a_bedv,0.025864158
g_wozbag,0.01825006
a_gbl_eu,0.017123174
p_koopw,0.016194107
boundary_lag_a_woning,0.013971443
g_afs_gs,0.013879177
g_afs_sc,0.013665201
a_woning,0.013123468
a_geb_ne,0.01250933
g_hhgro,0.011288108
a_gesch,0.010450206
a_bed_oq,0.01020088
p_huurw,0.009478754
p_1gezw,0.00912269
boundary_lag_a_pau,0.009055776
a_25_44,0.008871873
a_bed_bf,0.008850393
p_ov_hw,0.008620949
a_ongeh,0.008605533
g_ele,0.008595751
a_soz_ao,0.008283088
a_bed_hj,0.008063831
p_leegsw,0.0077593955
ste_mvs,0.0071611344
p_1gezw_hvw,0.007075765
a_soz_wb,0.0067910384
a_bed_mn,0.0067697247
a_15_24,0.006538007
a_m2w,0.0061619524
a_bed_a,0.0058796383
a_nl_all,0.0057807495
a_man,0.0057168705
a_ll,0.0056399447
g_afs_hp,0.005544715
p_1gezw_2w,0.0053419773
a_bst_b,0.004986759
g_gas,0.0049447212
a_wat_ha,0.0049410886
boundary_lag_a_inw,0.004703271
a_gehuwd,0.004670101
a_geb_eu,0.004576053
a_verwed,0.0042324453
a_pau,0.004226899
a_bst_nb,0.0041373246
a_hh,0.003971858
a_nb_vastg,0.0039307354
boundary_lag_a_ll,0.0036024319
a_45_64,0.0035004346
a_inw,0.0034932916
g_afs_kv,0.003290462
a_hh_m_k,0.0032413725
a_ons_mbo,0.0031090593
p_ste,0.003030167
a_vrouw,0.0029981274
pst_dekp,0.002889515
a_geb_nl,0.0028138403
a_65_oo,0.0028115609
a_nb_won ,0.002656443
p_1gezw_hw,0.0026303048
p_geb,0.00257279
a_bed_kl,0.0025206301
a_hh_z_k,0.0023275665
a_ste,0.0021547114
p_1gezw_tw,0.0021468764
p_bj_me10,0.0019949286
p_mgezw,0.0019349228
a_00_14,0.0018284026
a_ons_vovavo,0.0018024066
a_ons_po,0.0017860295
p_wcorpw,0.0016461088
a_soz_ow,0.0015562436
a_soz_ww,0.0011504068
a_ons_hbo,0.0011459873
a_geb,0.0009924726
a_ons_wo,0.0009533809
p_bj_mi10,0.00082419306
