feature,mean_abs_shap
a_bedv,0.25270587
a_1p_hh,0.24597551
a_vastg,0.14771402
ste_oad,0.14101852
a_neu_al,0.13179459
a_bed_gi,0.102439895
g_3km_sc,0.087995775
a_lan_ha,0.08619384
a_gbl_ne,0.085498385
a_bed_ru,0.08493706
a_opp_ha,0.06526012
pst_mvp,0.046989836
a_eur_al,0.044131372
bev_dich,0.032550044
g_ele_tr,0.031877313
a_gbl_eu,0.030382194
g_wozbag,0.025279703
a_woning,0.023739932
g_afs_gs,0.02220225
g_afs_sc,0.021344656
a_bed_oq,0.020793656
p_koopw,0.017988764
a_gesch,0.016848156
ste_mvs,0.016359575
p_huurw,0.015717683
a_bed_a,0.014197387
a_m2w,0.013502577
p_1gezw,0.0134354625
g_hhgro,0.0131172715
g_ele,0.012128523
a_geb_ne,0.011721817
a_bed_mn,0.011679381
a_ongeh,0.011379402
p_1gezw_hvw,0.010966895
g_afs_hp,0.010783211
p_1gezw_2w,0.009796762
a_15_24,0.009722269
a_bed_bf,0.009605917
a_gehuwd,0.00949411
a_hh,0.009304448
p_ov_hw,0.0083920825
a_wat_ha,0.00805767
a_bst_b,0.007925854
a_25_44,0.0078117596
a_bed_hj,0.0077867922
a_vrouw,0.0076879133
a_man,0.0076724277
p_leegsw,0.007669203
g_gas,0.0074211187
g_afs_kv,0.0071780547
a_bed_kl,0.0067835646
a_pau,0.006729298
a_geb_eu,0.006695154
a_inw,0.006676286
a_nl_all,0.006364958
a_ll,0.0063622277
a_bst_nb,0.0062097358
pst_dekp,0.006069183
a_verwed,0.0060019596
a_ons_hbo,0.00597993
a_65_oo,0.0058847563
a_hh_m_k,0.005593431
a_nb_won ,0.0054833
a_geb_nl,0.0054736948
a_ons_mbo,0.0053313547
a_ons_vovavo,0.0053206994
a_hh_z_k,0.005220658
a_45_64,0.0045655207
p_geb,0.00443317
a_nb_vastg,0.004390375
p_1gezw_tw,0.0043539475
p_ste,0.004286095
p_mgezw,0.0040752976
p_wcorpw,0.0038497015
p_1gezw_hw,0.0038338401
a_00_14,0.0029758771
p_bj_me10,0.0028465854
a_ste,0.0025622803
a_ons_wo,0.002296396
p_bj_mi10,0.0016931832
a_ons_po,0.0016788287
a_geb,0.0010220852
ind_wbi,0.0006942296
